Date,CM Code,CM Name,CP Code,TM Code,TM Name,End Client,Allocation at BOD,Allocations during the Day,Deallocation during the Day,Allocation at EOD,OWN Collateral at BOD,OWN Collateral added during Day,OWN Collateral reduced during Day,OWN Collateral at EOD,OWN Others Collateral at BOD,OWN Others Collateral added during Day,OWN Others Collateral reduced during Day,OWN Others Collateral at EOD,Total Collateral at EOD,Eligible Collateral at EOD,Margin Utilisation
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJK0012        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130958.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EMR0029        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98322.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0142        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0163        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DUD0011        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DUG0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DWP0006        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EWA0449        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EHI0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560.66
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ENL0435        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ERR0019        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147562.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FOA4449        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880405
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FNP0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774.31
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EWA2753        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598712.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0102        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95410.40
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FED0080        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40066.80
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FED0083        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52527.09
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FJE0019        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FTU0009        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FTY0031        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453772.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0165        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0166        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0187        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0194        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EPV0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EPV0014        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EPV0017        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FOA4244        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95410.40
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EWA1238        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FLI0464        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398437.81
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GQA0099        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194574
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GZZ0016        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133556
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FQC0295        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GGI0144        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40066.80
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GBK0118        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389148
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FNQ0038        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0821        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190560
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0822        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190560
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0851        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903682.44
